,ID,proposition1,proposition2,label,prep_needed,contradiction type
0,QT30_000,"the UK has 13,000 ventilators and never more than half have been in use",about eight weeks ago people said the UK would run out of the ventilators,1.0,1.0,factive
1,QT30_001,the UK have nearly doubled available intensive care beds and no more than half of those have ever been used by Coranavirus patients,people said the UK would run out of intensive care beds,1.0,1.0,factive
3,QT30_003,the app sounded as if it was the next big thing,the tracing app seems to be having a few teething problems,1.0,0.0,lexical
4,QT30_004,one in every two people go and see a play or musical every year,we think art is an elitist thing,1.0,0.0,lexical
6,QT30_006,Eleanor thinks Coronavirus tests should be available locally,Coronavirus tests are only available online,1.0,1.0,negation
7,QT30_007,us having the pandemic under control and being able to get back to life much newer to normal really matters,"Helen Whatley is beginning to hear coming through, that people feel there's been a lot of talk about what Dominic Cummings did or didn't do",1.0,1.0,lexical
11,QT30_011,even if you are told to self-isolate,you have to leave home to make sure your child is safe,1.0,0.0,WK
12,QT30_012,but you have problems with self-isolating at home,you are told to self-isolate at home for two weeks,1.0,1.0,WK
14,QT30_014,there is still a residual degree of goodwill for the Government,even though patience is beginning to wear thin,1.0,0.0,lexical
15,QT30_015,thousands and thousands of people are dying in care homes,you are throwing a protective ring around care homes,1.0,0.0,lexical
16,QT30_016,you can't just allow that mistakes will be make,"you allow that mistakes will be made in a fiercely complicated, unprecedented set of situations",1.0,0.0,structural
18,QT30_018,it seems to Alex Massie to be infantilising of Government ministers to try to pretend that could be the case,you treat people like adults,1.0,0.0,antonymy
20,QT30_020,"we have a chance through democracy, to break free, and progress","we need to be honest, face up to it, and accept the fact that we are as much prisoners of our history, as anything else",1.0,0.0,antonymy
22,QT30_022,the British Empire being a force for good in the world is not true,the British Empire was a force for good only in the world,1.0,1.0,negation
23,QT30_023,history is a construction,statues are the history of this country,1.0,1.0,lexical
24,QT30_024,Iran and Brazil are the two highest hotbeds of the disease,until Sunday you could come from Iran or Brazil with impunity,1.0,0.0,WK
25,QT30_025,we’re not leading the way in reopening,we should have been leading the way in reopening,1.0,1.0,structural
27,QT30_027,it’s somehow a widespread problem in Wales with late test results,"test results in Wales, over 90 per cent of the people get their test results within 48 hours",1.0,0.0,lexical
28,QT30_028,Wales having a problem with late test results simply doesn’t match the facts,it’s somehow a widespread problem in Wales with late test results,1.0,1.0,negation
29,QT30_029,"rather than wait for lack of leadership, and not condemning what the Prime Minister’s aid did or the other ingredients within the whole recipe of protecting people","we needed to learn much quicker from Korea, and other countries who have dealt with it",1.0,0.0,WK
31,QT30_031,nobody can quantify the indirect effect of the lockdown,the lockdown being implemented when it was implemented was the correct time,1.0,0.0,lexical
32,QT30_032,Kofie Unknown is just wondering if we're doing both priorities: protecting the economy and saving lives,"now, obviously the Government is dealing with two priorities",1.0,1.0,structural
33,QT30_033,"this next generation have actually shown themselves to be very compassionate, responsible and stoic",this next generation coming through have really defined this snowflake stereotype that's been applied to them too many times,1.0,1.0,lexical
34,QT30_034,"as opposed to the nit-picking and the point-arguing that we have seen on Twitter, very strangely, from this Government in particular",your Government began to show a little bit of contrition and acknowledgment of the mistakes that have been made in the handling of this crisis up to this point,1.0,0.0,lexical
36,QT30_036,participation rates in apprenticeship program among those from more disadvantaged backgrounds have fallen by a third,"Since apprenticeship levy was introduced in 2017, it was meant to get more young people, particularly from disadvantaged backgrounds, into apprenticeships to give them better life chances",1.0,1.0,factive
38,QT30_038,commitments regarding housing concerns across this generation may not necessarily come from this Government,the Government has talked about commitments that it's going to make regarding housing concerns across this generation,1.0,0.0,factive
39,QT30_039,"an hour before the announcement was made, those aged 16 to 18 were taken out of the announcement",in the announcements last week with regard to the tutoring that school children will now get,1.0,1.0,factive
40,QT30_040,"Shuresh comes to the point that she made at the beginning, and she agrees with Theo, to do and fulfil those demands what we need to be doing is making sure the economy is restarted in a proportionate and a sensible way",Suresh welcomes the demand being put on the Government in terms of investment in the youth and social housing and things such as that,1.0,1.0,lexical
41,QT30_041,the Government should be applauded for the furlough scheme they have done,there's been a lot of unfair criticism to the Government on -- by some of the panelists here and some of the other viewers,1.0,1.0,WK
42,QT30_042,the Labour Party should have built more houses and so should this Government build considerably more houses that people can actually afford to live in,"for that entire period, from 2012 to 2018, the Government has stopped councils being able to borrow money in order to build council housing",1.0,0.0,structural
43,QT30_043,"we have learned that we can be at productive when we are at home, if not more productive","with flexibility you couldn't work at home, you wouldn't be getting enough done",1.0,0.0,negation
45,QT30_045,it’s absolutely horrifying that we can’t provide more for the returning year tens and twelves,it’s absolutely delightful to see all the year tens and twelves back,1.0,1.0,antonymy
48,QT30_048,getting children back to school is a huge effort and it takes a lot of work to get children back to school safely with the social distancing requirements,we could sort out children going back to school pretty quickly actually,1.0,1.0,antonymy
53,QT30_053,people feel moved to go out and protest,we’ve got a public health emergency and nobody wants to see crowds out on the street,1.0,0.0,negation
55,QT30_055,these figures will now be distorted because of the situation with the coronavirus,James Clevlery is very proud of the fact that he is part of a government that has made some real differences,1.0,0.0,lexical
56,QT30_056,the Black Lives Matter movement does themselves no favours when they riot in London,the Black Lives Matter movement is excellent,1.0,1.0,negation
61,QT30_061,for young black people in Britain to think that there has been no progress is just wrong,"otherwise, unsurprisingly, young people…young black people in Britain will think that there has been no progress",1.0,1.0,structural
62,QT30_062,originally the government was suggesting face coverings were not necessary and might give a false sense of confidence,Face covering matter,1.0,0.0,structural
63,QT30_063,"the government suggested when it came to enclosed spaces such as public transport, face coverings are faced",originally the government was suggesting face coverings were not necessary and might give a false sense of confidence,1.0,0.0,negation
64,QT30_064,a lot of people are still not wearing masks on public transports,people should wear face coverings on public transport,1.0,0.0,structural
65,QT30_065,affected businesses had to wait 10 days to find out they’re getting 40 million pounds,it is really important that there is quick action for the businesses affected,1.0,1.0,lexical
