ID	locution1	locution2	proposition1	proposition2	locution1_corrected	locution2_corrected	preposition1_corrected	preposition2_corrected	label	prep_needed
QT50_457	What about the single market	Bridget, what you want to know is the policies	Bridget Phillipson thinks xxx about the single market	Bridget Phillipson wants to know about the policies					non-contradiction	False
QT50_69	on the whole the Welsh government has tried to take a four nations approach	There have been moments in the crisis where Wales have taken slightly different decisions	on the whole the Welsh government has tried to take a four nations approach	there have been moments in the crisis where Wales have taken slightly different decisions					contradiction	False
QT30_105	sorry, the AstraZeneca one is 70 percent	the reality is that the first dose of the Pfizer/BioNTech is about 70 percent protection, it is reckoned	sorry, the AstraZeneca one is 70 percent protection	the reality is that the first dose of the Pfizer/BioNTech is about 70 percent protection, it is reckoned					contradiction	False
QT30_205	this government seems to want to reduce it	over the last few decades, if not centuries, we've seen successive governments try to expand the franchise	current UK government seems to want to reduce the voting franchise	over the last few decades, if not centuries, we've seen successive governments try to expand the voting franchise					contradiction	True
QT50_254	At the same time we have one hand tied behind our back because the UK government have taken Â£20 a week out of universal credit	That has been described as a game changer	at the same time we have one hand tied behind our back because the UK government have taken Â£20 a week out of universal credit	raising child payment to Â£20 a week has been described as a game changer	At the same time we have one hand tied behind our back because the UK government have taken £20 a week out of universal credit				contradiction	True
QT30_144	there's not a magic money tree, to coin a phrase, out there	we deserve greater than a 1 percent pay rise	there's not a magic money tree out there	we deserve greater than a 1 percent pay rise					contradiction	False
QT50_85	it is not all the people in Russia	whatever else we do, we should not be giving them and him an easy ride	people who are propping Putin up is not all the people in Russia	whatever else we do, we should not be giving people who are propping Putin up and Putin himself an easy ride					non-contradiction	True
QT30_75	Jeremy Corbyn allowed the space for anti-Semites to come into the party and the leadership did absolutely nothing about it	Itâ€™s not one personâ€™s fault	Jeremy Corbyn allowed the space for anti-Semites to come into the Labout party and the leadership did absolutely nothing about it	anti-semitism in Labour is not one personâ€™s fault		It's not one person's fault			contradiction	False
QT50_279	that was ignored	They are allowed to produce food to different standards	Australia and New Zealand being allowed to produce food to different standards was ignored	Australia and New Zealand are allowed to produce food to different standards					contradiction	True
QT50_363	there's a fallacy	I'm not a big nationalist	there's a fallacy	Stuart Murdoch is not a big nationalist					non-contradiction	False
QT30_134	We could say we'll send hospitality back first, but we won't send schools back	Our distinction is we think schools should go back first	we could say we'll send hospitality back first, but we won't send schools back	our distinction is we think schools should go back first					contradiction	False
QT30_251	people are still on furlough, people still aren't back in work	The conservative there mentioned, well, things will get back to normal	people are still on furlough, people still aren't back in work	the conservative there mentioned things will get back to normal					contradiction	False
QT30_241	I would like to see us work out a way to live with it on a longer term basis	I would like to see restrictions lifted sooner	Heather McGregor would like to see us work out a way to live with it on a longer term basis	Heather McGregor would like to see restrictions lifted sooner					contradiction	False
QT30_238	we don't know who to trust	I'm sure you're right and very well informed	we don't know who to trust	Jenni Murray is sure Anthony Costello is right and very well informed					contradiction	False
US2016_10	Rand is the closest we have to a libertarian since Ron Paul or Gary Johnson	not the faux libertarians like Rand	PAUL is the closest we have to a libertarian since Ron Paul or Gary Johnson	PAUL is faux Libertarian					contradiction	False
QT30_82	theyâ€™ve had opportunities through impeachment and others to, as it were, remove him	it seems that some Republicans are getting buyerâ€™s remorse and regretting that Donald Trump is their representative in the presidential race	republicans have had opportunities through impeachment and others to, as it were, remove him	it seems that some Republicans are getting buyerâ€™s remorse and regretting that Donald Trump is their representative in the presidential race	they've had opportunities through impeachment and others to, as it were, remove him	it seems that some Republicans are getting buyer's remorse and regretting that Donald Trump is their representative in the presidential race			contradiction	False
QT50_252	No real solutions	Lots and lots of politics	no real solutions	lots and lots of politics					non-contradiction	False
