ID	locution1	locution1 corrected version	locution2	locution2 corrected version	proposition1	preposition1 corrected version	proposition2	preposition2 corrected version	label	prep_needed
QT30_271	I do buy the product		I'm not an expert on farming		Daniel Finkelstein does buy the product of farming		Daniel Finkelstein is not an expert on farming		Non-contradiction	FALSE
US2016_47	we are losing billions and billions of dollars		!as far as Japan is concerned , I want to help all of our allies		USA are losing billions and billions of dollars		!as far as Japan is concerned , TRUMP wants to help all of USA's allies		Contradiction	FALSE
QT30_41	they should be applauded for the furlough scheme they have done		there's been a lot of unfair criticism to the Government on -- by some of the panelists here and some of the other viewers		the Government should be applauded for the furlough scheme they have done		there's been a lot of unfair criticism to the Government on -- by some of the panelists here and some of the other viewers		Contradiction	FALSE
QT50_346	it is the help that the Government have put in there that is important to families, to businesses, to communities, right across Scotland and the whole UK		Too much for a lot of people		it is the help that the Government have put in there that is important to families, to businesses, to communities, right across Scotland and the whole UK		Douglas Ross knows that £2,500 is too much for a lot of people		Contradiction	TRUE
US2016_55	Now, suddenly, last week, you're against it		"You even called it the ""gold standard"""		now, suddenly, last week, CLINTON is against Obama's trade deal	now, suddenly, last week, Clinton is against Obama's trade deal	"CLINTON even called Obama's trade deal the ""gold standard"""	"Clinton even called Obama's trade deal the ""gold standard"""	Contradiction	FALSE
QT50_451	we’re not that stupid, public		thinking that we’re all stupid enough to believe it ourselves		we’re not stupid enough to believe anything politicians say, public		we watched delusional people thinking that we’re all stupid enough to believe anything they say ourselves		Contradiction	FALSE
QT30_148	should we not have come up with some kind of better system by now a year in		I think much as I completely get not going abroad		should we not have come up with some kind of better system by now a year in		Katie unknown completely gets not going abroad		Contradiction	FALSE
QT30_55	I know these figures will now be distorted because of the situation with the coronavirus		I’m very proud of the fact that I’m part of a government that has made some real differences		these figures will now be distorted because of the situation with the coronavirus		James Clevlery is very proud of the fact that he is part of a government that has made some real differences		Contradiction	FALSE
QT50_654	Albania is a safe country		not so long ago, I think Albanians were accounting for almost half the arrivals of small boats		Albania is a safe country		not so long ago, I think Albanians were accounting for almost half the arrivals of small boats		Contradiction	FALSE
QT30_517	that's a good idea		we have slipped into the notion that food banks are part of the landscape now		slipping into the notion that food banks as part of the landscape is not a good idea		we have slipped into the notion that food banks are part of the landscape now		Contradiction	TRUE
QT30_7	what really matters is us having the pandemic under control and being able to get back to life much newer to normal		I am beginning to hear coming through, that people feel there's been a lot of talk about what Dominic Cummings did or didn't do		us having the pandemic under control and being able to get back to life much newer to normal really matters		Helen Whatley is beginning to hear coming through, that people feel there's been a lot of talk about what Dominic Cummings did or didn't do		Contradiction	FALSE
QT30_553	what’s important is we get to the right answer		the language of U-turns and all of these kind of brick bats that we throw at politicians often means that we just don’t get to the right answer		what’s important is we get to the right answer		the language of U-turns and all of these kind of brick bats that we throw at politicians often means that we just don’t get to the right answer		Contradiction	FALSE
