ID	prime_sample	label
QT30_375	'don't dehumanise to the lengths that some might', 'every politicians does have family scrutinised, criticised, hold politicians accountable, do all of that, that's a life bud of our democracy'	non-contradiction
QT50_137	'Greg Hands hasn't come up with something', 'Emily Thornberry was thinking that maybe Greg Hands would come up with something'	self-contradiction
QT50_329	'Paul Scully was down in Ebbsfleet where there is 15,000 buildings which are not getting unlocked', 'we need to unlock the building that's around'	self-contradiction
US2016_031	'sure TRUMP does understand', 'TRUMP does not understand that screaming at a woman in front of 100 million people makes him look like a fucking asshole'	self-contradiction
QT30_002	'Claire Cooper can see the psychological damage that potentially is happening to a whole generation of children', 'Claire Cooper doesn't work in education'	non-contradiction
QT30_070	'all the businesses in the supply chain won’t get funding, the businesses impacted won’t get funding', 'in the rest of the UK if you’re obliged by law to close you’ll get a grant'	self-contradiction
QT50_543	'You can't guarantee on a normal day that you will get an ambulance when you need it', 'we're in the ludicrous position at the moment where Conservative ministers are talking about introducing minimum standards during strikes'	non-contradiction
QT50_221	'the Northern Ireland Protocol also presents us with opportunities', 'the Northern Ireland Protocol having been designed by Robert Buckland's own government as a soft landing zone for Brexit was in order that Northern Ireland would be as insulated from the difficulties that Brexit was going to create in terms of trade friction'	self-contradiction
QT50_325	'you're going to be paying more in other costs as well', 'you're saving money in energy'	non-contradiction
QT30_022	'the British Empire being a force for good in the world is not true', 'the British Empire was a force for good only in the world'	self-contradiction
QT30_485	'Labour losing Hartlepool isn't really a shock to John Bercow', 'yes, Labour losing Hartlepool is a shock'	self-contradiction
QT30_142	'people have no idea what's going on here', 'in Bonnie Greer's native land, you can talk about anybody'	non-contradiction
QT30_325	'there's plenty more to be done, clearly', 'Paul Scully is optimistic'	non-contradiction
QT30_348	'the emerging markets are asking for an annual review', 'we agreed on a review of the commitments now every two years'	self-contradiction
QT50_415	'we don’t have 40 new hospitals', 'Lucy Frazer did just say we have 40 new hospitals'	self-contradiction
QT30_472	'don't pause the Home Office', 'the Home Office said they're on a pause'	self-contradiction
